date,campaign_id,campaign_name,objective,channel,region,product_line,creative_type,daily_budget,spend,impressions,clicks,conversions,revenue,ctr,cvr,cpa,roas,cpc
2024-02-02,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,459.54,27028,1571,59,6638.77,0.058125,0.037556,7.79,14.4466,0.2925
2024-02-03,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,619.61,51895,2823,126,10511.19,0.054398,0.044633,4.92,16.9642,0.2195
2024-02-04,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,621.63,39320,1393,65,6371.34,0.035427,0.046662,9.56,10.2494,0.4463
2024-02-05,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,552.18,32191,1475,64,5227.72,0.04582,0.04339,8.63,9.4674,0.3744
2024-02-06,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,426.94,43713,2464,96,10853.49,0.056368,0.038961,4.45,25.4216,0.1733
2024-02-07,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,469.21,34178,1321,54,4682.91,0.038651,0.040878,8.69,9.9804,0.3552
2024-02-08,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,570.56,41723,1180,25,2145.63,0.028282,0.021186,22.82,3.7606,0.4835
2024-02-09,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,537.72,57455,1736,45,4927.36,0.030215,0.025922,11.95,9.1634,0.3097
2024-02-10,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,882.27,844.51,36151,1824,37,3225.86,0.050455,0.020285,22.82,3.8198,0.463
2024-02-11,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,882.27,878.51,32944,1199,49,5168.41,0.036395,0.040867,17.93,5.8832,0.7327
2024-02-12,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,816.91,626.42,31213,965,29,3027.7,0.030917,0.030052,21.6,4.8333,0.6491
2024-02-13,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,816.91,637.99,48210,1610,66,5541.36,0.033396,0.040994,9.67,8.6857,0.3963
2024-02-14,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,816.91,800.96,30419,1533,30,2650.12,0.050396,0.019569,26.7,3.3087,0.5225
2024-02-15,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,816.91,779.22,56575,2581,64,4755.87,0.045621,0.024797,12.18,6.1034,0.3019
2024-02-16,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,816.91,732.04,33711,1800,49,4876.02,0.053395,0.027222,14.94,6.6609,0.4067
2024-02-17,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,572.09,36117,2037,73,7296.14,0.0564,0.035837,7.84,12.7535,0.2808
2024-02-18,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,519.19,29736,1749,58,4926.64,0.058818,0.033162,8.95,9.4891,0.2968
2024-02-19,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,472.31,56337,2126,77,5741.39,0.037737,0.036218,6.13,12.156,0.2222
2024-02-20,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,450.57,31706,1832,45,4710.4,0.057781,0.024563,10.01,10.4543,0.2459
2024-02-21,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,603.26,49643,2743,81,8479.57,0.055255,0.02953,7.45,14.0562,0.2199
2024-02-22,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,529.99,32726,1511,55,5146.7,0.046171,0.0364,9.64,9.7109,0.3508
2024-02-23,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,450.71,50739,3169,76,8078.05,0.062457,0.023982,5.93,17.9229,0.1422
2024-02-24,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,479.91,35805,1236,52,5632.28,0.03452,0.042071,9.23,11.7361,0.3883
2024-02-25,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,507.9,39381,1420,53,4722.02,0.036058,0.037324,9.58,9.2971,0.3577
2024-02-26,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,629.98,40424,1653,23,1929.64,0.040892,0.013914,27.39,3.063,0.3811
2024-02-27,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,458.76,43579,1481,42,4220.05,0.033984,0.028359,10.92,9.1988,0.3098
2024-02-28,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,548.56,50636,3228,154,14879.27,0.063749,0.047708,3.56,27.1242,0.1699
2024-02-29,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,425.25,24708,1247,32,3189.03,0.050469,0.025662,13.29,7.4992,0.341
2024-03-01,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,504.86,29488,2167,60,5249.78,0.073488,0.027688,8.41,10.3985,0.233
2024-03-02,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,488.5,38180,1500,55,5637.71,0.039288,0.036667,8.88,11.5409,0.3257
2024-03-03,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,535.61,51364,2319,73,8150.74,0.045148,0.031479,7.34,15.2177,0.231
2024-03-04,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,490.3,36079,1690,56,4470.33,0.046842,0.033136,8.76,9.1175,0.2901
2024-03-05,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,533.71,32473,1804,61,6383.42,0.055554,0.033814,8.75,11.9605,0.2958
2024-03-06,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,537.08,35193,1379,46,5202.49,0.039184,0.033358,11.68,9.6866,0.3895
2024-03-07,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,488.67,42064,1956,8,690.74,0.046501,0.00409,61.08,1.4135,0.2498
2024-03-08,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,569.18,64117,1902,60,5956.85,0.029665,0.031546,9.49,10.4657,0.2993
2024-03-09,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,420.24,33715,1843,48,4620.69,0.054664,0.026044,8.76,10.9954,0.228
2024-03-10,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,569.89,47964,1168,41,3853.77,0.024352,0.035103,13.9,6.7623,0.4879
2024-03-11,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,449.19,48340,1361,56,5736.37,0.028155,0.041146,8.02,12.7705,0.33
2024-03-12,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,495.36,37622,1354,35,2979.68,0.03599,0.025849,14.15,6.0152,0.3658
2024-03-13,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,444.06,34168,1073,35,3317.39,0.031404,0.032619,12.69,7.4706,0.4138
2024-03-14,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,421.98,52667,2584,91,8093.32,0.049063,0.035217,4.64,19.1794,0.1633
2024-03-15,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,530.27,34079,1307,49,5127.07,0.038352,0.03749,10.82,9.6688,0.4057
2024-03-16,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,485.09,39086,1344,29,2521.09,0.034386,0.021577,16.73,5.1972,0.3609
2024-03-17,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,502.43,33249,1033,31,3227.24,0.031069,0.03001,16.21,6.4233,0.4864
2024-03-18,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,563.0,41102,1459,31,2738.61,0.035497,0.021247,18.16,4.8643,0.3859
2024-03-19,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,427.84,44811,1943,48,5314.85,0.04336,0.024704,8.91,12.4225,0.2202
2024-03-20,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,426.02,35031,1722,63,5916.77,0.049156,0.036585,6.76,13.8885,0.2474
2024-03-21,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,543.43,42539,2322,62,5866.13,0.054585,0.026701,8.76,10.7946,0.234
2024-03-22,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,407.46,29004,1422,34,3338.35,0.049028,0.02391,11.98,8.1931,0.2865
2024-03-23,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,523.14,48322,992,40,3930.38,0.020529,0.040323,13.08,7.5131,0.5274
2024-03-24,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,490.55,39639,1961,80,9169.96,0.049471,0.040796,6.13,18.6932,0.2502
2024-03-25,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,551.55,65182,1820,45,3618.03,0.027922,0.024725,12.26,6.5597,0.303
2024-03-26,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,544.43,41080,2060,93,9593.01,0.050146,0.045146,5.85,17.6203,0.2643
2024-03-27,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,539.98,40165,2206,74,7111.63,0.054923,0.033545,7.3,13.1702,0.2448
2024-03-28,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,530.16,57754,2365,85,9347.9,0.04095,0.035941,6.24,17.6322,0.2242
2024-03-29,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,482.99,35129,1898,46,3449.46,0.054029,0.024236,10.5,7.1419,0.2545
2024-03-30,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,522.04,28979,938,13,1281.85,0.032368,0.013859,40.16,2.4555,0.5565
2024-03-31,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,482.92,34883,1934,78,7493.37,0.055442,0.040331,6.19,15.5168,0.2497
2024-04-01,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,396.41,40513,2403,65,6438.83,0.059314,0.02705,6.1,16.2429,0.165
2024-04-02,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,434.97,48197,1389,38,4039.76,0.028819,0.027358,11.45,9.2874,0.3132
2024-04-03,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,378.08,24148,1170,57,6379.36,0.048451,0.048718,6.63,16.873,0.3231
2024-04-04,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,371.76,20737,755,20,1660.28,0.036408,0.02649,18.59,4.466,0.4924
2024-04-05,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,397.24,25724,1539,65,5716.02,0.059827,0.042235,6.11,14.3893,0.2581
2024-04-06,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,420.26,31238,579,19,1425.05,0.018535,0.032815,22.12,3.3909,0.7258
2024-04-07,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,409.48,35137,844,22,1754.6,0.02402,0.026066,18.61,4.2849,0.4852
2024-04-08,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,332.17,18333,901,22,2347.64,0.049146,0.024417,15.1,7.0676,0.3687
2024-04-09,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,343.27,24174,661,13,1240.78,0.027343,0.019667,26.41,3.6146,0.5193
2024-04-10,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,350.44,27137,1334,38,3225.19,0.049158,0.028486,9.22,9.2033,0.2627
2024-04-11,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,373.54,23189,914,31,2566.48,0.039415,0.033917,12.05,6.8707,0.4087
2024-04-12,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,544.61,318.52,38710,2257,90,9309.75,0.058305,0.039876,3.54,29.2281,0.1411
2024-04-13,CMP_1000,Electronics_consideration_Search_WES_1000,consideration,Search,West,Electronics,Dynamic Search Ad,588.18,405.44,26854,1347,56,4801.23,0.05016,0.041574,7.24,11.842,0.301
2024-08-04,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,978.19,85186,2999,141,14024.58,0.035205,0.047016,6.94,14.3373,0.3262
2024-08-05,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,1247.84,89325,4812,106,9715.5,0.053871,0.022028,11.77,7.7859,0.2593
2024-08-06,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,1585.46,84577,5155,175,14199.37,0.06095,0.033948,9.06,8.956,0.3076
2024-08-07,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,1849.62,100014,4458,161,12731.27,0.044574,0.036115,11.49,6.8832,0.4149
2024-08-08,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2459.49,138312,4582,145,13998.73,0.033128,0.031646,16.96,5.6917,0.5368
2024-08-09,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2382.12,197404,7510,212,17803.81,0.038044,0.028229,11.24,7.4739,0.3172
2024-08-10,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2646.85,169563,12352,369,30906.5,0.072846,0.029874,7.17,11.6767,0.2143
2024-08-11,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2320.45,154840,9108,390,44108.69,0.058822,0.042819,5.95,19.0087,0.2548
2024-08-12,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2160.87,187225,5380,271,28594.77,0.028735,0.050372,7.97,13.233,0.4016
2024-08-13,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,1887.38,102936,5535,222,17053.93,0.053771,0.040108,8.5,9.0358,0.341
2024-08-14,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2797.37,156495,5436,242,24195.5,0.034736,0.044518,11.56,8.6494,0.5146
2024-08-15,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2824.74,162573,8081,279,23968.96,0.049707,0.034525,10.12,8.4854,0.3496
2024-08-16,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2628.48,195630,9439,178,13667.88,0.048249,0.018858,14.77,5.1999,0.2785
2024-08-17,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2558.82,129651,7970,285,29681.96,0.061473,0.035759,8.98,11.5999,0.3211
2024-08-18,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2289.33,139812,6795,245,26134.06,0.048601,0.036056,9.34,11.4156,0.3369
2024-08-19,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2608.29,138809,10828,351,36997.69,0.078006,0.032416,7.43,14.1847,0.2409
2024-08-20,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2095.21,191710,4395,159,13527.53,0.022925,0.036177,13.18,6.4564,0.4767
2024-08-21,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2371.4,217464,7621,305,23576.99,0.035045,0.040021,7.78,9.9422,0.3112
2024-08-22,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2626.54,154810,6888,229,19040.33,0.044493,0.033246,11.47,7.2492,0.3813
2024-08-23,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2206.04,217170,8604,228,17326.79,0.039619,0.026499,9.68,7.8543,0.2564
2024-08-24,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2655.83,214788,6591,251,27773.09,0.030686,0.038082,10.58,10.4574,0.4029
2024-08-25,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2739.54,177381,9231,338,30592.37,0.052041,0.036616,8.11,11.167,0.2968
2024-08-26,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2230.77,211111,7050,281,28384.21,0.033395,0.039858,7.94,12.724,0.3164
2024-08-27,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2461.63,133748,7455,331,34068.58,0.055739,0.0444,7.44,13.8398,0.3302
2024-08-28,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2428.01,136689,4981,203,18852.7,0.03644,0.040755,11.96,7.7647,0.4875
2024-08-29,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,2007.47,103225,6268,201,15493.41,0.060722,0.032068,9.99,7.7179,0.3203
2024-08-30,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2514.74,1832.9,166929,9297,415,43619.22,0.055694,0.044638,4.42,23.7979,0.1971
2024-08-31,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2715.92,2079.43,140373,7674,186,19625.48,0.054669,0.024238,11.18,9.4379,0.271
2024-09-01,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2263.27,1510.19,89202,2991,102,11688.4,0.033531,0.034102,14.81,7.7397,0.5049
2024-09-02,CMP_1001,HomeGoods_consideration_Search_NOR_1001,consideration,Search,Northeast,HomeGoods,Text Ad,2095.62,1271.79,88036,3509,104,11179.76,0.039859,0.029638,12.23,8.7906,0.3624
2024-04-11,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,579.97,60505,1937,61,5047.13,0.032014,0.031492,9.51,8.7024,0.2994
2024-04-12,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,666.77,45667,1005,29,3029.85,0.022007,0.028856,22.99,4.5441,0.6635
2024-04-13,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,2029.81,807.08,49401,2377,89,9750.93,0.048116,0.037442,9.07,12.0817,0.3395
2024-04-14,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,2029.81,955.55,53790,1641,62,6146.02,0.030508,0.037782,15.41,6.4319,0.5823
2024-04-15,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,881.6,96179,2713,93,7464.01,0.028208,0.034279,9.48,8.4664,0.325
2024-04-16,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,864.41,62046,2219,33,2965.02,0.035764,0.014872,26.19,3.4301,0.3895
2024-04-17,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,911.13,83562,4219,138,10744.07,0.050489,0.032709,6.6,11.792,0.216
2024-04-18,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,864.92,67338,3115,138,13114.59,0.046259,0.044302,6.27,15.1628,0.2777
2024-04-19,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,850.78,102024,3171,68,6956.28,0.031081,0.021444,12.51,8.1764,0.2683
2024-04-20,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,2029.81,1071.35,67623,3787,164,12423.26,0.056002,0.043306,6.53,11.5959,0.2829
2024-04-21,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,2029.81,1183.63,65564,4034,146,14739.86,0.061528,0.036192,8.11,12.4531,0.2934
2024-04-22,CMP_1002,Toys_retargeting_Search_SOU_1002,retargeting,Search,Southwest,Toys,Text Ad,1879.45,1114.36,70540,3676,163,12404.07,0.052112,0.044342,6.84,11.1311,0.3031
